,val_mse,val_mae,val_r2,test_mse,test_mae,test_r2
xgboost,957.0716267586366,21.270010795683426,0.9260612073898572,1416.1106744351925,24.598110583757922,0.5729234291638492
lightgbm,1075.8607585021018,22.52825991827977,0.9168841252042059,1430.6606622893942,24.810003684066917,0.5685353830664222
lasso,2374.1772890077045,31.925533970974907,0.8165823776573811,1559.0202655637715,26.03254166464862,0.5298241578846938
ridge,2355.4479464845576,32.157301964456046,0.8180293173992197,1615.1924090930893,27.075232866384873,0.5128835282657658
random_forest,935.1600580234317,19.083710717285403,0.9277539907627821,1726.4360099472178,26.58390029064647,0.47933421856990066
decision_tree,1916.43331143961,25.396099445657654,0.8519454958187394,2736.6766336004935,35.84512154306852,0.17466163255094647
